# weak detections 
# name lsehaw2 lserw leww 
                     J0049-20    30.181    6.704    0.179    0.174
                  J1026-19:S4    31.894    7.893    0.758    0.258
                  J1026-19:S5    30.910    6.765    0.938    0.320
                  J1051-17:S2    32.216    8.249    1.294    0.161
                  J1051-17:S5    31.517    7.619    0.654    0.232
