#       filename     helio. vel.
obj01010023_0025     -15.1735620
obj01010026_0029     -15.5911779
obj01010030_0032      -3.4907067
obj01010034_0036       3.4419060
obj01010037_0039      20.4216099
obj01020094_0096     -25.2600937
obj01020097_0099      -3.3602543
obj01020101_0103      -3.4835982
obj01020104_0107      13.0914087
obj02010039_0041      -2.4740252
obj02010042_0044       9.8591995
obj02020071_0073     -27.2480736
obj02020082_0084       3.4867225
obj02020086_0088       2.4894586
obj02020090_0092      15.5958643
obj02020096_0097      18.2149506
obj03010031_0033      -9.5279703
obj03010034_0036       2.3427680
obj03010039_0041       6.6747203
obj03010042_0043       9.7950344
obj03020074_0076       9.4329157
obj03020079_0082      12.9290247
